                      radius                  box booles               hollow booles          hollow monte carlo              MC uncertainty
      0.1000000000000000E+01      0.1607237320203355E+01      0.1607207821156485E+01      0.1606752883619922E+01      0.1626642116466100E-07
      0.2000000000000000E+01      0.1607237320203355E+01      0.1607001315295778E+01      0.1609609740416623E+01      0.1647417223371934E-07
      0.3000000000000000E+01      0.1607237320203355E+01      0.1606440733122912E+01      0.1615396775374520E+01      0.1660173650736238E-07
      0.4000000000000000E+01      0.1607237320203355E+01      0.1605348879670679E+01      0.1609757212490588E+01      0.1668681033475054E-07
      0.5000000000000000E+01      0.1607237320203355E+01      0.1603548371518364E+01      0.1599733229322665E+01      0.1663896214866745E-07
      0.6000000000000000E+01      0.1607237320203355E+01      0.1600861573505948E+01      0.1604899332855714E+01      0.1710117724774330E-07
      0.7000000000000000E+01      0.1607237320203355E+01      0.1597110535045054E+01      0.1592210361515431E+01      0.1745355668835627E-07
      0.8000000000000000E+01      0.1607237320203355E+01      0.1592116925923148E+01      0.1587920546996799E+01      0.1756989769411502E-07
      0.9000000000000000E+01      0.1607237320203355E+01      0.1585701971495696E+01      0.1589333749110194E+01      0.1783349328292237E-07
      0.1000000000000000E+02      0.1607237320203355E+01      0.1577686387158764E+01      0.1579701245951199E+01      0.1866004673938728E-07
      0.1100000000000000E+02      0.1607237320203355E+01      0.1567890311991967E+01      0.1574895321549662E+01      0.1919909315027674E-07
      0.1200000000000000E+02      0.1607237320203355E+01      0.1556133241458639E+01      0.1560856586824280E+01      0.1981574999856474E-07
      0.1300000000000000E+02      0.1607237320203355E+01      0.1542233959046666E+01      0.1537724508412629E+01      0.2115621447415919E-07
      0.1400000000000000E+02      0.1607237320203355E+01      0.1526010466729496E+01      0.1529823970804298E+01      0.2147008932941393E-07
      0.1500000000000000E+02      0.1607237320203355E+01      0.1507279914122461E+01      0.1512671071247227E+01      0.2249661974146578E-07
      0.1600000000000000E+02      0.1607237320203355E+01      0.1485858526204645E+01      0.1491678493771619E+01      0.2354233281005828E-07
      0.1700000000000000E+02      0.1607237320203355E+01      0.1461561529471082E+01      0.1458458603442794E+01      0.2474980240079322E-07
      0.1800000000000000E+02      0.1607237320203355E+01      0.1434203076374049E+01      0.1447010296555451E+01      0.2517610905606501E-07
      0.1900000000000000E+02      0.1607237320203355E+01      0.1403596167905581E+01      0.1413519172984130E+01      0.2716355077081018E-07
