                         x_0                      booles                   large x_0                 monte carlo              MC uncertainty
      0.5000000000000000E+01      0.1067499990006680E+02      0.9921347101832437E+01      0.1053381575424639E+02      0.6584858021815575E-06
      0.1000000000000000E+02      0.8695153090424823E+01      0.8681178714103382E+01      0.8708490307003299E+01      0.3980930759978754E-06
      0.1500000000000000E+02      0.7279913072604136E+01      0.7563799275654432E+01      0.7427465141575752E+01      0.2726595225606116E-06
      0.2000000000000000E+02      0.6197892942153260E+01      0.6585721783112911E+01      0.6205999465220747E+01      0.1808295134596194E-06
      0.2500000000000000E+02      0.5341603639978564E+01      0.5743937795797726E+01      0.5364281680969124E+01      0.1379785207913359E-06
      0.3000000000000000E+02      0.4648649629347542E+01      0.5025945571323010E+01      0.4653024969145637E+01      0.1056302376903027E-06
      0.3500000000000000E+02      0.4078701905599453E+01      0.4415859692723108E+01      0.4090967738943411E+01      0.8394634461581427E-07
      0.4000000000000000E+02      0.3603950902555138E+01      0.3897672075719886E+01      0.3613327006943953E+01      0.6546927582283067E-07
      0.4500000000000000E+02      0.3204369051032860E+01      0.3456758944982342E+01      0.3217446413606930E+01      0.5322489205752577E-07
      0.5000000000000000E+02      0.2865075703182952E+01      0.3080418253391523E+01      0.2845468903645734E+01      0.4335651409584112E-07
      0.5500000000000000E+02      0.2574750649479161E+01      0.2757919591484107E+01      0.2569717771752884E+01      0.3642743546711330E-07
      0.6000000000000000E+02      0.2324621641535644E+01      0.2480336775458109E+01      0.2331345763577259E+01      0.3056894637858572E-07
      0.6500000000000000E+02      0.2107788667164478E+01      0.2240304184284744E+01      0.2110719395664995E+01      0.2602658276313328E-07
      0.7000000000000000E+02      0.1918756738475329E+01      0.2031765230960366E+01      0.1924627245835578E+01      0.2219485090328066E-07
      0.7500000000000000E+02      0.1753103519593380E+01      0.1849742680002658E+01      0.1754525860904988E+01      0.1899198913811709E-07
      0.8000000000000000E+02      0.1607237320203355E+01      0.1690140988586499E+01      0.1608223939266488E+01      0.1660318985822329E-07
      0.8500000000000000E+02      0.1478217473712581E+01      0.1549581596026567E+01      0.1478963038462098E+01      0.1432095932402960E-07
      0.9000000000000000E+02      0.1363618865406488E+01      0.1425268147091600E+01      0.1364118417486415E+01      0.1255021086613433E-07
      0.9500000000000000E+02      0.1261428364577805E+01      0.1314877326748877E+01      0.1259150247175859E+01      0.1102135267456233E-07
      0.1000000000000000E+03      0.1169964721490108E+01      0.1216470902613213E+01      0.1171545547198982E+01      0.9749739101728563E-08
      0.1050000000000000E+03      0.1087815983379056E+01      0.1128425002719494E+01      0.1090114901209188E+01      0.8776274847795530E-08
      0.1100000000000000E+03      0.1013790160094519E+01      0.1049373251155354E+01      0.1012814903084412E+01      0.7774140003425523E-08
      0.1150000000000000E+03      0.9468760232638493E+00      0.9781609818708037E+00      0.9456394195894083E+00      0.7060757136704208E-08
      0.1200000000000000E+03      0.8862117322868582E+00      0.9138082856950929E+00      0.8861030565482657E+00      0.6333610217063870E-08
      0.1250000000000000E+03      0.8310595585636451E+00      0.8554800972464699E+00      0.8315296457585718E+00      0.5707736888087671E-08
      0.1300000000000000E+03      0.7807853985481469E+00      0.8024618979423294E+00      0.7792336593237043E+00      0.5120272460261253E-08
      0.1350000000000000E+03      0.7348420742568151E+00      0.7541399080366216E+00      0.7352825033271897E+00      0.4740503239529736E-08
      0.1400000000000000E+03      0.6927556488780562E+00      0.7099848762463732E+00      0.6925123143268626E+00      0.4261985595175875E-08
      0.1450000000000000E+03      0.6541141571650391E+00      0.6695387614733547E+00      0.6543863776704155E+00      0.3898933613228216E-08
      0.1500000000000000E+03      0.6185582807264111E+00      0.6324037473850146E+00      0.6176578964116890E+00      0.3578224569564573E-08
      0.1550000000000000E+03      0.5857735980421919E+00      0.5982331455294422E+00      0.5848146664664320E+00      0.3258051371720061E-08
      0.1600000000000000E+03      0.5554841158368546E+00      0.5667238329681733E+00      0.5560430672808496E+00      0.3034271904386993E-08
      0.1650000000000000E+03      0.5274468480102584E+00      0.5376099414786050E+00      0.5281241104781021E+00      0.2794435892302737E-08
      0.1700000000000000E+03      0.5014472548222026E+00      0.5106575714178460E+00      0.5022535361548019E+00      0.2569461183587858E-08
      0.1750000000000000E+03      0.4772953915319910E+00      0.4856603476421473E+00      0.4772277740564282E+00      0.2383437916796969E-08
      0.1800000000000000E+03      0.4548226445152981E+00      0.4624356700006644E+00      0.4544892899561412E+00      0.2205088674884624E-08
      0.1850000000000000E+03      0.4338789557528450E+00      0.4408215388581059E+00      0.4334302022761216E+00      0.2077500856441889E-08
      0.1900000000000000E+03      0.4143304548258493E+00      0.4206738583926749E+00      0.4133208615288443E+00      0.1911442307545742E-08
      0.1950000000000000E+03      0.3960574321676757E+00      0.4018641382646490E+00      0.3961479408242669E+00      0.1805362222730259E-08
      0.2000000000000000E+03      0.3789525990822830E+00      0.3842775285921014E+00      0.3790690994650233E+00      0.1689382296367638E-08
