                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                           1                           1     -0.2224552000000000E+01      0.1000000000000000E-05      0.1203088266156235E+02      0.3220001434006214E-06
                           1                           2     -0.8481781000000000E+01      0.1000000000000000E-05      0.1364435544782303E+01      0.2552138088843785E-06
                           1                           3     -0.6881782000000000E+01      0.1000000000000000E+00     -0.7349580403758491E+00      0.3301749152957862E-06
                           1                           4     -0.6681781000000000E+01      0.8944500000000000E-01     -0.1140140515715590E+02      0.2704790244333635E-06
                           1                           5     -0.5769820000000000E+01      0.2541240000000000E+00     -0.1350079874231405E+02      0.3497741861520068E-06
                           1                           6     -0.6579986000000000E+01      0.1001000000000000E+01     -0.1690416913557009E+02      0.3442148269485161E-06
                           2                           1     -0.7717964000000000E+01      0.1000000000000000E-05      0.1473564461861884E+01      0.2553346059969481E-06
                           2                           2     -0.2829558400000000E+02      0.1000000000000000E-05     -0.9192882654918161E+01      0.2828642532985044E-06
                           2                           3     -0.2756058400000000E+02      0.2000000000000000E-01     -0.1855535296360031E+02      0.2473112055477040E-06
                           2                           4     -0.2927103800000000E+02      0.5400000000000000E-04     -0.2922180008038035E+02      0.2743361509393139E-06
                           2                           5     -0.2886132300000000E+02      0.7560000000000000E-02     -0.3132119366553849E+02      0.2623753011760736E-06
                           2                           6     -0.3139608400000000E+02      0.8800000000000000E-04     -0.3472456405879455E+02      0.3308007043769010E-06
                           2                           7     -0.3014125700000000E+02      0.4681800000000000E-01     -0.4408703436747670E+02      0.2907127262645588E-06
                           2                           8     -0.2995126400000000E+02      0.9285000000000000E-01     -0.4749040476073276E+02      0.3689583344065573E-06
                           3                           1     -0.4614841000000000E+01      0.2121320000000000E+00     -0.4075712891371057E+00      0.3303453027189960E-06
                           3                           2     -0.2633046100000000E+02      0.5000000000000000E-01     -0.1833709512944115E+02      0.2475438803848819E-06
                           3                           3     -0.3199378700000000E+02      0.1000000000000000E-05     -0.2769956543812329E+02      0.3121160578927141E-06
                           3                           4     -0.3924487400000000E+02      0.7000000000000000E-05     -0.3836601255490333E+02      0.2397484129826188E-06
                           3                           5     -0.4127749700000000E+02      0.4800000000000000E-04     -0.4772848286358548E+02      0.3075377521590703E-06
                           3                           6     -0.4533971300000000E+02      0.1890000000000000E-03     -0.5113185325684153E+02      0.2545644734872232E-06
                           3                           7     -0.4531331100000000E+02      0.1272000000000000E-01     -0.6049432356552368E+02      0.3144364911035084E-06
