                           Z     stable isotope position  neutron drip-line position
                           1                           6                           7
                           2                           6                           8
                           3                           6                          13
                           4                           6                          16
                           5                           1                          19
                           6                           2                          23
                           7                           6                          25
                           8                           4                          28
                           9                           5                          31
                          10                           5                          34
                          11                           6                          37
                          12                           7                          40
                          13                           8                          43
                          14                           8                          45
                          15                           9                          47
                          16                          10                          49
                          17                          11                          51
                          18                          12                          53
                          19                          13                          56
                          20                          14                          58
                          21                          15                          61
                          22                          16                          64
                          23                          17                          67
                          24                          18                          70
                          25                          19                          72
                          26                          19                          75
                          27                          20                          77
                          28                          20                          80
                          29                          23                          82
                          30                          24                          85
                          31                          25                          87
                          32                          26                          90
                          33                          27                          92
                          34                          30                          95
                          35                          32                          98
                          36                          33                         101
                          37                          34                         103
                          38                          35                         107
                          39                          36                         109
                          40                          37                         112
                          41                          38                         115
                          42                          39                         118
                          43                          40                         121
                          44                          41                         124
                          45                          43                         127
                          46                          44                         129
                          47                          45                         132
                          48                          46                         134
                          49                          47                         137
                          50                          49                         139
                          51                          52                         141
                          52                          53                         143
                          53                          54                         145
                          54                          55                         148
                          55                          56                         152
                          56                          57                         154
                          57                          59                         156
                          58                          61                         158
                          59                          62                         160
                          60                          64                         162
                          61                          65                         164
                          62                          66                         166
                          63                          67                         168
                          64                          69                         170
                          65                          70                         172
                          66                          72                         174
                          67                          73                         176
                          68                          74                         178
                          69                          75                         181
                          70                          78                         185
                          71                          79                         188
                          72                          81                         190
                          73                          82                         194
                          74                          83                         197
                          75                          84                         199
                          76                          85                         203
                          77                          87                         205
                          78                          88                         208
                          79                          90                         210
                          80                          91                         216
                          81                          95                         218
                          82                          96                         220
                          83                         101                         224
                          84                         102                         227
                          85                         106                         229
                          86                         107                         231
                          87                         110                         233
                          88                         113                         235
                          89                         116                         237
                          90                         118                         239
                          91                         120                         241
                          92                         123                         243
                          93                         126                         245
                          94                         133                         247
                          95                         134                         249
                          96                         135                         252
                          97                         136                         254
                          98                         139                         256
                          99                         140                         258
                         100                         141                         260
                         101                         144                         262
                         102                         146                         264
                         103                         148                         266
                         104                         149                         268
                         105                         150                         270
                         106                         152                         273
                         107                         153                         275
                         108                         155                         277
                         109                         156                         279
                         110                         157                         281
                         111                         161                         283
                         112                         164                         285
                         113                         165                         287
                         114                         170                         289
                         115                         172                         291
                         116                         173                         293
                         117                         174                         294
                         118                         175                         295
