                           x                ground state                 1st excited                 2nd excited
     -0.2000000000000000E+02      0.8066280468084914E-55      0.1364535541891378E-47      0.2578307606198861E-40
     -0.1989974937343358E+02      0.1024302836363618E-56      0.2406288384182977E-49      0.6008504587085791E-42
     -0.1979949874686717E+02      0.5239725533648175E-59      0.2599558271384013E-51      0.3152145546211149E-43
     -0.1969924812030075E+02      0.1152225604452956E-53      0.1931519553661752E-46      0.3617386669117168E-39
     -0.1959899749373434E+02      0.4041960754553586E-54      0.6534759683468680E-47      0.1179904372058833E-39
     -0.1949874686716792E+02      0.5502005660701795E-56      0.9987646521249448E-49      0.2025084745481560E-41
     -0.1939849624060150E+02      0.5133825847380814E-55      0.8811250881974858E-48      0.1688826302989675E-40
     -0.1929824561403509E+02      0.2732856460295466E-57      0.2833556592957933E-50      0.2892741583133512E-43
     -0.1919799498746867E+02      0.1835295208009986E-55      0.3135707632665833E-48      0.5981911728650130E-41
     -0.1909774436090225E+02      0.9635946688039054E-55      0.1603956425732426E-47      0.2983769438975941E-40
     -0.1899749373433584E+02      0.1380791286895799E-56      0.2396727980093504E-49      0.4637549068572474E-42
     -0.1889724310776942E+02      0.1465374378816779E-56      0.2497696304084180E-49      0.4760135347487476E-42
     -0.1879699248120301E+02      0.1176207459263836E-56      0.2000900421664475E-49      0.3801717280907688E-42
     -0.1869674185463659E+02      0.6010635132191036E-58      0.1050433795666884E-50      0.2049479128149011E-43
     -0.1859649122807017E+02      0.9122023377529784E-57      0.1517216382716212E-49      0.2820630927018213E-42
     -0.1849624060150376E+02      0.2384585987435475E-58      0.4075863368744279E-51      0.7777427667007775E-44
     -0.1839598997493734E+02      0.1335372618466411E-60      0.2673113679852478E-53      0.5887194603309424E-46
     -0.1829573934837093E+02      0.1503365897053471E-59      0.2547967309662872E-52      0.4827092383396289E-45
     -0.1819548872180451E+02      0.7347299512735698E-60      0.1188561092928287E-52      0.2147895490956308E-45
     -0.1809523809523809E+02      0.7900741061505198E-61      0.1359171661824875E-53      0.2611866496195880E-46
     -0.1799498746867168E+02      0.1841598506294892E-61      0.3003084823350175E-54      0.5466264229680647E-47
     -0.1789473684210526E+02      0.1475811578557200E-61      0.2495947766881382E-54      0.4713004927828791E-47
     -0.1779448621553885E+02      0.1399673006724692E-67      0.3839155653088971E-59      0.3507022235775712E-51
     -0.1769423558897243E+02      0.2396131822987402E-63      0.4142459130140935E-56      0.7991590719315553E-49
     -0.1759398496240602E+02      0.8745646086853584E-65      0.1595975293431107E-57      0.3240642726710322E-50
