                           x                ground state                 1st excited                 2nd excited
     -0.2000000000000000E+02      0.3053519109215154E-05      0.1221332677949787E-04      0.2747717422319790E-04
     -0.1989974937343358E+02      0.1221332677960390E-04      0.4884131407423743E-04      0.1098479945295884E-03
     -0.1979949874686717E+02      0.2747717422344512E-04      0.1098479945296573E-03      0.2469304879327964E-03
     -0.1969924812030075E+02      0.4884131407464567E-04      0.1951734617990586E-03      0.4384218128365929E-03
     -0.1959899749373434E+02      0.7630050130875315E-04      0.3047339293694458E-03      0.6838989280702055E-03
     -0.1949874686716792E+02      0.1098479945305897E-03      0.4384218128368602E-03      0.9828195274677175E-03
     -0.1939849624060150E+02      0.1494755576293778E-03      0.5961058355503127E-03      0.1334523237926546E-02
     -0.1929824561403509E+02      0.1951734618007211E-03      0.7776311575207426E-03      0.1738233078298862E-02
     -0.1919799498746867E+02      0.2469304879350366E-03      0.9828195274682895E-03      0.2193057175892262E-02
     -0.1909774436090225E+02      0.3047339293720538E-03      0.1211469457858512E-02      0.2697990736788120E-02
     -0.1899749373433584E+02      0.3685695950201320E-03      0.1463356422755795E-02      0.3251918265624539E-02
     -0.1889724310776942E+02      0.4384218128405833E-03      0.1738233078299962E-02      0.3853616029940503E-02
     -0.1879699248120301E+02      0.5142734336949450E-03      0.2035829505588426E-02      0.4501754763635900E-02
     -0.1869674185463659E+02      0.5961058355553658E-03      0.2355853475727442E-02      0.5194902603576072E-02
     -0.1859649122807017E+02      0.6838989280764035E-03      0.2697990736789687E-02      0.5931528252853204E-02
     -0.1849624060150376E+02      0.7776311575273152E-03      0.3061905322398545E-02      0.6710004363715386E-02
     -0.1839598997493734E+02      0.8772795120836158E-03      0.3447239881634810E-02      0.7528611132691206E-02
     -0.1829573934837093E+02      0.9828195274765711E-03      0.3853616029942693E-02      0.8385540099965814E-02
     -0.1819548872180451E+02      0.1094225292999445E-02      0.4280634720688599E-02      0.9278898144617289E-02
     -0.1809523809523809E+02      0.1211469457868631E-02      0.4727876637012080E-02      0.1020671166688422E-01
     -0.1799498746867168E+02      0.1334523237938477E-02      0.5194902603578479E-02      0.1116693094822785E-01
     -0.1789473684210526E+02      0.1463356422767980E-02      0.5681254017833884E-02      0.1215743467955405E-01
     -0.1779448621553885E+02      0.1597937383037545E-02      0.6186453300335486E-02      0.1317603464759328E-01
     -0.1769423558897243E+02      0.1738233078314263E-02      0.6710004363718201E-02      0.1422048056908474E-01
     -0.1759398496240602E+02      0.1884209065163553E-02      0.7251393099833657E-02      0.1528846506208507E-01
     -0.1749373433583960E+02      0.2035829505605136E-02      0.7810087884586435E-02      0.1637762874341865E-01
     -0.1739348370927318E+02      0.2193057175911521E-02      0.8385540099968850E-02      0.1748556544100873E-01
     -0.1729323308270677E+02      0.2355853475746669E-02      0.8977184672784543E-02      0.1860982750957488E-01
     -0.1719298245614035E+02      0.2524178437642504E-02      0.9584440629529470E-02      0.1974793123795128E-01
     -0.1709273182957394E+02      0.2697990736811505E-02      0.1020671166688758E-01      0.2089736233608442E-01
     -0.1699248120300752E+02      0.2877247701291726E-02      0.1084338673727764E-01      0.2205558148958075E-01
     -0.1689223057644110E+02      0.3061905322423240E-02      0.1149384064888113E-01      0.2322002996954269E-01
     -0.1679197994987469E+02      0.3251918265652477E-02      0.1215743467955746E-01      0.2438813528529261E-01
     -0.1669172932330827E+02      0.3447239881662454E-02      0.1283351720404539E-01      0.2555731686749800E-01
     -0.1659147869674186E+02      0.3647822217824909E-02      0.1352142433383631E-01      0.2672499176914798E-01
     -0.1649122807017544E+02      0.3853616029973283E-02      0.1422048056908831E-01      0.2788858037177872E-01
     -0.1639097744360902E+02      0.4064570794492508E-02      0.1492999946194191E-01      0.2904551208434602E-01
     -0.1629072681704261E+02      0.4280634720722609E-02      0.1564928429058786E-01      0.3019323102215700E-01
     -0.1619047619047619E+02      0.4501754763673907E-02      0.1637762874342244E-01      0.3132920165331030E-01
     -0.1609022556390978E+02      0.4727876637049585E-02      0.1711431761261941E-01      0.3245091440017377E-01
     -0.1598997493734336E+02      0.4958944826573649E-02      0.1785862749643841E-01      0.3355589118352423E-01
     -0.1588972431077694E+02      0.5194902603619771E-02      0.1860982750957933E-01      0.3464169089710045E-01
     -0.1578947368421053E+02      0.5435692039138423E-02      0.1936718000088526E-01      0.3570591480047795E-01
     -0.1568922305764411E+02      0.5681254017878934E-02      0.2012994127768822E-01      0.3674621181834731E-01
     -0.1558897243107769E+02      0.5931528252902927E-02      0.2089736233609018E-01      0.3776028373449071E-01
     -0.1548872180451128E+02      0.6186453300384634E-02      0.2166868959645613E-01      0.3874589026898496E-01
     -0.1538847117794486E+02      0.6445966574695990E-02      0.2244316564340171E-01      0.3970085402741075E-01
     -0.1528822055137845E+02      0.6710004363771567E-02      0.2322002996954975E-01      0.4062306531113388E-01
     -0.1518796992481203E+02      0.6978501844750639E-02      0.2399851972231921E-01      0.4151048677803999E-01
     -0.1508771929824561E+02      0.7251393099891438E-02      0.2477787045301821E-01      0.4236115794340868E-01
     -0.1498746867167920E+02      0.7528611132753928E-02      0.2555731686750635E-01      0.4317319951100566E-01
     -0.1488721804511278E+02      0.7810087884648532E-02      0.2633609357768578E-01      0.4394481752481003E-01
     -0.1478696741854637E+02      0.8095754251344669E-02      0.2711343585308374E-01      0.4467430733220589E-01
     -0.1468671679197995E+02      0.8385540100035786E-02      0.2788858037178903E-01      0.4536005734988791E-01
     -0.1458646616541353E+02      0.8679374286558055E-02      0.2866076597000945E-01      0.4600055262416110E-01
     -0.1448621553884712E+02      0.8977184672856317E-02      0.2942923438950529E-01      0.4659437817776322E-01
     -0.1438596491228070E+02      0.9278898144694936E-02      0.3019323102217012E-01      0.4714022213582147E-01
     -0.1428571428571429E+02      0.9584440629606738E-02      0.3095200565103094E-01      0.4763687862403718E-01
