                      Radius                ground state               first excited              second excited
      0.2000000000000000E+01     -0.4191806173494116E+02     -0.2077617149584274E+02      0.7117798288066787E-01
      0.2020050125313283E+01     -0.4204141651915052E+02     -0.2115151134424548E+02     -0.3833962789020146E-01
      0.2040100250626566E+01     -0.4216206081837061E+02     -0.2152125658272653E+02     -0.1722605154387071E+00
      0.2060150375939850E+01     -0.4228006982461829E+02     -0.2188544420341880E+02     -0.3320033736385343E+00
      0.2080200501253133E+01     -0.4239551631687486E+02     -0.2224411617105146E+02     -0.5175111164183207E+00
      0.2100250626566416E+01     -0.4250847074308118E+02     -0.2259731887608849E+02     -0.7275298298748605E+00
      0.2120300751879699E+01     -0.4261900129970509E+02     -0.2294510263312887E+02     -0.9600885053728339E+00
      0.2140350877192982E+01     -0.4272717400874406E+02     -0.2328752122101110E+02     -0.1212929317500564E+01
      0.2160401002506266E+01     -0.4283305279235734E+02     -0.2362463146150195E+02     -0.1483785833623139E+01
      0.2180451127819549E+01     -0.4293669954497433E+02     -0.2395649283340059E+02     -0.1770523803563950E+01
      0.2200501253132832E+01     -0.4303817420312609E+02     -0.2428316711944692E+02     -0.2071194921174838E+01
      0.2220551378446115E+01     -0.4313753481286488E+02     -0.2460471808339351E+02     -0.2384045709902596E+01
      0.2240601503759398E+01     -0.4323483759497930E+02     -0.2492121117488528E+02     -0.2707506821156416E+01
      0.2260651629072682E+01     -0.4333013700796135E+02     -0.2523271325999037E+02     -0.3040175529004475E+01
      0.2280701754385965E+01     -0.4342348580875911E+02     -0.2553929237530673E+02     -0.3380797156450503E+01
      0.2300751879699248E+01     -0.4351493511153122E+02     -0.2584101750387573E+02     -0.3728247705457313E+01
      0.2320802005012531E+01     -0.4360453444424282E+02     -0.2613795837111094E+02     -0.4081518405409924E+01
      0.2340852130325815E+01     -0.4369233180334611E+02     -0.2643018525912150E+02     -0.4439702248541832E+01
      0.2360902255639098E+01     -0.4377837370642992E+02     -0.2671776883807802E+02     -0.4801982343338652E+01
      0.2380952380952381E+01     -0.4386270524314554E+02     -0.2700078001314969E+02     -0.5167621850771864E+01
      0.2401002506265664E+01     -0.4394537012421981E+02     -0.2727928978585962E+02     -0.5535955271098654E+01
      0.2421052631578947E+01     -0.4402641072868093E+02     -0.2755336912862375E+02     -0.5906380874366164E+01
      0.2441102756892231E+01     -0.4410586814946506E+02     -0.2782308887144746E+02     -0.6278354098522852E+01
      0.2461152882205514E+01     -0.4418378223737041E+02     -0.2808851959983551E+02     -0.6651381767982676E+01
      0.2481203007518797E+01     -0.4426019164336547E+02     -0.2834973156290988E+02     -0.7025017010338736E+01
      0.2501253132832080E+01     -0.4433513385941529E+02     -0.2860679459102605E+02     -0.7398854769872925E+01
      0.2521303258145363E+01     -0.4440864525784497E+02     -0.2885977802200804E+02     -0.7772527833400396E+01
      0.2541353383458647E+01     -0.4448076112919510E+02     -0.2910875063532665E+02     -0.8145703298236649E+01
      0.2561403508771930E+01     -0.4455151571881903E+02     -0.2935378059364921E+02     -0.8518079423006355E+01
      0.2581453634085213E+01     -0.4462094226201381E+02     -0.2959493539097070E+02     -0.8889382811806179E+01
      0.2601503759398496E+01     -0.4468907301802748E+02     -0.2983228180697080E+02     -0.9259365889445199E+01
      0.2621553884711779E+01     -0.4475593930267134E+02     -0.3006588586694849E+02     -0.9627804632017353E+01
      0.2641604010025063E+01     -0.4482157151989840E+02     -0.3029581280692083E+02     -0.9994496522171270E+01
      0.2661654135338346E+01     -0.4488599919213097E+02     -0.3052212704341618E+02     -0.1035925870285597E+02
      0.2681704260651629E+01     -0.4494925098951351E+02     -0.3074489214756778E+02     -0.1072192630683534E+02
      0.2701754385964912E+01     -0.4501135475813826E+02     -0.3096417082318085E+02     -0.1108235094237756E+02
      0.2721804511278195E+01     -0.4507233754720534E+02     -0.3118002488839081E+02     -0.1144039931817594E+02
      0.2741854636591479E+01     -0.4513222563522632E+02     -0.3139251526050771E+02     -0.1179595199256443E+02
      0.2761904761904762E+01     -0.4519104455528583E+02     -0.3160170194399669E+02     -0.1214890223406441E+02
      0.2781954887218045E+01     -0.4524881911934561E+02     -0.3180764402106927E+02     -0.1249915498192492E+02
      0.2802005012531328E+01     -0.4530557344177840E+02     -0.3201039964479421E+02     -0.1284662589654661E+02
      0.2822055137844611E+01     -0.4536133096190896E+02     -0.3221002603443569E+02     -0.1319124049095877E+02
      0.2842105263157895E+01     -0.4541611446587204E+02     -0.3240657947289010E+02     -0.1353293333552796E+02
      0.2862155388471178E+01     -0.4546994610763713E+02     -0.3260011530584775E+02     -0.1387164732891225E+02
      0.2882205513784461E+01     -0.4552284742930057E+02     -0.3279068794278386E+02     -0.1420733302904526E+02
      0.2902255639097744E+01     -0.4557483938056502E+02     -0.3297835085929432E+02     -0.1453994803862024E+02
      0.2922305764411028E+01     -0.4562594233773624E+02     -0.3316315660097569E+02     -0.1486945644024309E+02
      0.2942355889724311E+01     -0.4567617612179410E+02     -0.3334515678830470E+02     -0.1519582827660810E+02
      0.2962406015037594E+01     -0.4572556001598679E+02     -0.3352440212281600E+02     -0.1551903907193153E+02
      0.2982456140350877E+01     -0.4577411278279277E+02     -0.3370094239414320E+02     -0.1583906939096435E+02
      0.3002506265664160E+01     -0.4582185268019250E+02     -0.3387482648796584E+02     -0.1615590443228680E+02
      0.3022556390977444E+01     -0.4586879747749440E+02     -0.3404610239471351E+02     -0.1646953365320366E+02
      0.3042606516290727E+01     -0.4591496447049769E+02     -0.3421481721900670E+02     -0.1677995042333008E+02
      0.3062656641604010E+01     -0.4596037049620815E+02     -0.3438101718960547E+02     -0.1708715170470202E+02
      0.3082706766917293E+01     -0.4600503194696715E+02     -0.3454474766998192E+02     -0.1739113775611546E+02
      0.3102756892230576E+01     -0.4604896478417066E+02     -0.3470605316930649E+02     -0.1769191185975458E+02
      0.3122807017543860E+01     -0.4609218455146050E+02     -0.3486497735381609E+02     -0.1798948006845977E+02
      0.3142857142857143E+01     -0.4613470638746925E+02     -0.3502156305853524E+02     -0.1828385097171225E+02
