                           x                ground state                 1st excited                 2nd excited
     -0.2000000000000000E+02      0.2056486476589459E-24      0.1556899823942389E-17      0.2885132600271216E-05
     -0.1989974937343358E+02      0.8382587381404857E-24      0.6290496838321268E-17      0.1154013212585822E-04
     -0.1979949874686717E+02      0.1949187029254120E-23      0.1439199810734676E-16      0.2596380380605232E-04
     -0.1969924812030075E+02      0.3631210803732679E-23      0.2618867840946118E-16      0.4615415653962053E-04
     -0.1959899749373434E+02      0.6021090642520116E-23      0.4215706772845226E-16      0.7210840316962545E-04
     -0.1949874686716792E+02      0.9314295240150930E-23      0.6294221110376198E-16      0.1038229608681922E-03
     -0.1939849624060150E+02      0.1377672952601619E-22      0.8938375119579829E-16      0.1412934516311370E-03
     -0.1929824561403509E+02      0.1977203766566612E-22      0.1225497875216392E-15      0.1845147028822369E-03
     -0.1919799498746867E+02      0.2780636103804273E-22      0.1637800875451922E-15      0.2334807481873568E-03
     -0.1909774436090225E+02      0.3850681328218735E-22      0.2147401871795299E-15      0.2881848280780480E-03
     -0.1899749373433584E+02      0.5277518988969518E-22      0.2774886269753007E-15      0.3486193909846229E-03
     -0.1889724310776942E+02      0.7176444006757747E-22      0.3545601846909297E-15      0.4147760942786226E-03
     -0.1879699248120301E+02      0.9702641008323989E-22      0.4490681802501810E-15      0.4866458054245621E-03
     -0.1869674185463659E+02      0.1306216610566003E-21      0.5648303397578084E-15      0.5642186032404472E-03
     -0.1859649122807017E+02      0.1753204575900632E-21      0.7065229251917180E-15      0.6474837792674109E-03
     -0.1849624060150376E+02      0.2347448847738958E-21      0.8798697137354883E-15      0.7364298392480302E-03
     -0.1839598997493734E+02      0.3137445399537663E-21      0.1091873068890605E-14      0.8310445047129650E-03
     -0.1829573934837093E+02      0.4187998110074939E-21      0.1351097068289585E-14      0.9313147146758807E-03
     -0.1819548872180451E+02      0.5585216592207925E-21      0.1668013197078560E-14      0.1037226627436504E-02
     -0.1809523809523809E+02      0.7442515005285784E-21      0.2055423308902224E-14      0.1148765622491429E-02
     -0.1799498746867168E+02      0.9911985843066874E-21      0.2528977298277749E-14      0.1265916302552370E-02
     -0.1789473684210526E+02      0.1319585638674664E-20      0.3107804487625641E-14      0.1388662495671432E-02
     -0.1779448621553885E+02      0.1756197896390052E-20      0.3815286846570383E-14      0.1516987257473944E-02
     -0.1769423558897243E+02      0.2336622461153508E-20      0.4680003609837890E-14      0.1650872873497203E-02
     -0.1759398496240602E+02      0.3108548442526901E-20      0.5736885489946612E-14      0.1790300861636224E-02
     -0.1749373433583960E+02      0.4134875586739664E-20      0.7028625788028694E-14      0.1935251974694428E-02
     -0.1739348370927318E+02      0.5499304066397961E-20      0.8607405010369366E-14      0.2085706203041457E-02
     -0.1729323308270677E+02      0.7313514937110690E-20      0.1053699886036496E-13      0.2241642777374508E-02
     -0.1719298245614035E+02      0.9725967050059095E-20      0.1289535418063955E-13      0.2403040171586281E-02
     -0.1709273182957394E+02      0.1293326566525877E-19      0.1577773831228391E-13      0.2569876105735710E-02
     -0.1699248120300752E+02      0.1719783706130460E-19      0.1930058660780308E-13      0.2742127549124196E-02
     -0.1689223057644110E+02      0.2286826033705431E-19      0.2360620613477604E-13      0.2919770723474519E-02
